incident_id,source,cve_id,title,model,ars_proxy,cve_match,vendor_match,product_match,ttps_claimed,confidence_stated,output_first_200,human_label,human_notes
CVE-2026-20122,cisa_kev,CVE-2026-20122,CVE-2026-20122: Cisco Catalyst SD-WAN Manager Incorrect Use of Privileged APIs Vulnerability,gpt-4o-mini,0.6,False,True,True,T1203,0.8,"1. CVE identifier: unknown   2. Affected vendor and product: Cisco, Catalyst SD-WAN Manager   3. Most likely ATT&CK TTPs: T1203 (Exploitation for Client Execution)   4. Recommended containment actions",,
CVE-2026-20133,cisa_kev,CVE-2026-20133,CVE-2026-20133: Cisco Catalyst SD-WAN Manager Exposure of Sensitive Information to an Unauthorized Actor Vulnerability,gpt-4o-mini,0.6,False,True,True,T1071.001,0.8,"1. CVE identifier: unknown   2. Affected vendor and product: Cisco, Catalyst SD-WAN Manager   3. Most likely ATT&CK TTPs: T1071.001 (Application Layer Protocol: Web Protocols)   4. Recommended contain",,
CVE-2025-2749,cisa_kev,CVE-2025-2749,CVE-2025-2749: Kentico Xperience Path Traversal Vulnerability,gpt-4o-mini,0.6,False,True,True,T1071.001,0.8,"1. CVE identifier: unknown   2. Affected vendor and product: Kentico, Kentico Xperience   3. Most likely ATT&CK TTPs: T1071.001 (Application Layer Protocol: Web Protocols)   4. Recommended containment",,
CVE-2023-27351,cisa_kev,CVE-2023-27351,CVE-2023-27351: PaperCut NG/MF Improper Authentication Vulnerability,gpt-4o-mini,0.35,False,True,False,T1078,0.8,1. CVE identifier: unknown   2. Affected vendor and product: PaperCut NG/MF   3. Most likely ATT&CK TTPs: T1078 (Valid Accounts)   4. Recommended containment actions: Apply mitigations per vendor inst,,
CVE-2025-48700,cisa_kev,CVE-2025-48700,CVE-2025-48700: Synacor Zimbra Collaboration Suite (ZCS) Cross-site Scripting Vulnerability,gpt-4o-mini,0.6,False,True,True,T1071.001,0.8,"1. CVE identifier: unknown   2. Affected vendor and product: Synacor, Zimbra Collaboration Suite (ZCS)   3. Most likely ATT&CK TTPs: T1071.001 (Application Layer Protocol: Web Protocols)   4. Recommen",,
CVE-2026-20128,cisa_kev,CVE-2026-20128,CVE-2026-20128: Cisco Catalyst SD-WAN Manager Storing Passwords in a Recoverable Format Vulnerability,gpt-4o-mini,0.6,False,True,True,T1071.001,0.8,"1. CVE identifier: unknown   2. Affected vendor and product: Cisco, Catalyst SD-WAN Manager   3. Most likely ATT&CK TTPs: T1071.001 (Application Layer Protocol: Web Protocols)   4. Recommended contain",,
CVE-2025-32975,cisa_kev,CVE-2025-32975,CVE-2025-32975: Quest KACE Systems Management Appliance (SMA) Improper Authentication Vulnerability,gpt-4o-mini,0.6,False,True,True,T1071.001,0.8,"1. CVE identifier: unknown   2. Affected vendor and product: Quest, KACE Systems Management Appliance (SMA)   3. Most likely ATT&CK TTPs: T1071.001 (Application Layer Protocol: Web Protocols)   4. Rec",,
CVE-2024-27199,cisa_kev,CVE-2024-27199,CVE-2024-27199: JetBrains TeamCity Relative Path Traversal Vulnerability,gpt-4o-mini,0.6,False,True,True,T1071.001,0.8,"1. CVE identifier: unknown   2. Affected vendor and product: JetBrains, TeamCity   3. Most likely ATT&CK TTPs: T1071.001 (Application Layer Protocol: Web Protocols)   4. Recommended containment action",,
CVE-2026-34197,cisa_kev,CVE-2026-34197,CVE-2026-34197: Apache ActiveMQ Improper Input Validation Vulnerability,gpt-4o-mini,0.6,False,True,True,T1203,0.8,1. CVE identifier: unknown   2. Affected vendor and product: Apache ActiveMQ   3. Most likely ATT&CK TTPs: T1203 (Exploitation for Client Execution)   4. Recommended containment actions: Apply mitigat,,
CVE-2009-0238,cisa_kev,CVE-2009-0238,CVE-2009-0238: Microsoft Office Remote Code Execution,gpt-4o-mini,0.6,False,True,True,T1203,0.8,"1. CVE identifier: unknown   2. Affected vendor and product: Microsoft Office   3. Most likely ATT&CK TTPs: T1203   4. Recommended containment actions: Apply mitigations per vendor instructions, follo",,
